iter	Passed	Remaining
656	9040	4719
657	9054	4706
658	9068	4692
659	9082	4678
660	9095	4664
661	9109	4650
662	9123	4637
663	9136	4623
664	9149	4609
665	9163	4595
666	9177	4581
667	9191	4568
668	9204	4554
669	9218	4540
670	9232	4526
671	9246	4513
672	9260	4499
673	9274	4485
674	9288	4472
675	9302	4458
676	9316	4444
677	9329	4430
678	9342	4416
679	9356	4403
680	9370	4389
681	9384	4375
682	9396	4361
683	9410	4347
684	9424	4333
685	9438	4320
686	9451	4306
687	9465	4292
688	9479	4278
689	9492	4264
690	9505	4250
691	9519	4236
692	9533	4223
693	9547	4209
694	9560	4195
695	9574	4182
696	9589	4168
697	9602	4154
698	9616	4140
699	9630	4127
700	9643	4113
701	9657	4099
702	9670	4085
703	9685	4072
704	9699	4058
705	9713	4044
706	9727	4031
707	9740	4017
708	9755	4003
709	9768	3990
710	9782	3976
711	9796	3962
712	9809	3948
713	9823	3934
714	9837	3921
715	9851	3907
716	9865	3893
717	9878	3880
718	9892	3866
719	9905	3852
720	9919	3838
721	9932	3824
722	9946	3810
723	9960	3796
724	9973	3782
725	9986	3769
726	10000	3755
727	10013	3741
728	10026	3727
729	10040	3713
730	10054	3700
731	10068	3686
732	10082	3672
733	10096	3658
734	10110	3645
735	10123	3631
736	10137	3617
737	10151	3604
738	10164	3590
739	10179	3576
740	10193	3562
741	10206	3548
742	10220	3535
743	10233	3521
744	10247	3507
745	10261	3493
746	10275	3480
747	10289	3466
748	10303	3452
749	10317	3439
750	10331	3425
751	10344	3411
752	10358	3397
753	10372	3384
754	10387	3370
755	10401	3356
756	10413	3342
757	10426	3328
758	10440	3315
759	10454	3301
760	10467	3287
761	10481	3273
762	10495	3260
763	10509	3246
764	10522	3232
765	10536	3218
766	10550	3204
767	10563	3191
768	10576	3177
769	10590	3163
770	10603	3149
771	10617	3135
772	10631	3121
773	10645	3108
774	10659	3094
775	10672	3080
776	10686	3067
777	10700	3053
778	10714	3039
779	10728	3025
780	10742	3012
781	10756	2998
782	10770	2984
783	10784	2971
784	10798	2957
785	10812	2943
786	10826	2930
787	10840	2916
788	10853	2902
789	10867	2888
790	10881	2875
791	10895	2861
792	10908	2847
793	10922	2833
794	10936	2820
795	10950	2806
796	10964	2792
797	10978	2779
798	10991	2765
799	11005	2751
800	11019	2737
801	11033	2724
802	11047	2710
803	11062	2696
804	11075	2682
805	11088	2669
806	11103	2655
807	11117	2641
808	11130	2627
809	11144	2614
810	11158	2600
811	11172	2586
812	11185	2572
813	11199	2559
814	11213	2545
815	11227	2531
816	11241	2518
817	11255	2504
818	11269	2490
819	11283	2476
820	11297	2463
821	11310	2449
822	11324	2435
823	11338	2421
824	11352	2408
825	11365	2394
826	11379	2380
827	11393	2366
828	11407	2352
829	11421	2339
830	11435	2325
831	11448	2311
832	11462	2297
833	11475	2284
834	11489	2270
835	11502	2256
836	11516	2242
837	11529	2228
838	11543	2215
839	11557	2201
840	11570	2187
841	11584	2173
842	11598	2160
843	11612	2146
844	11626	2132
845	11639	2118
846	11653	2105
847	11667	2091
848	11681	2077
849	11695	2063
850	11709	2050
851	11723	2036
852	11737	2022
853	11751	2008
854	11765	1995
855	11778	1981
856	11792	1967
857	11806	1953
858	11819	1940
859	11833	1926
860	11846	1912
861	11861	1898
862	11874	1885
863	11887	1871
864	11901	1857
865	11914	1843
866	11928	1829
867	11942	1816
868	11955	1802
869	11969	1788
870	11983	1774
871	11997	1761
872	12011	1747
873	12025	1733
874	12039	1719
875	12052	1706
876	12066	1692
877	12080	1678
878	12094	1664
879	12109	1651
880	12122	1637
881	12136	1623
882	12150	1609
883	12164	1596
884	12178	1582
885	12192	1568
886	12206	1555
887	12219	1541
888	12233	1527
889	12246	1513
890	12260	1499
891	12274	1486
892	12287	1472
893	12301	1458
894	12315	1444
895	12329	1431
896	12342	1417
897	12356	1403
898	12370	1389
899	12384	1376
900	12397	1362
901	12411	1348
902	12425	1334
903	12438	1320
904	12452	1307
905	12466	1293
906	12480	1279
907	12493	1265
908	12507	1252
909	12521	1238
910	12535	1224
911	12548	1210
912	12562	1197
913	12575	1183
914	12589	1169
915	12603	1155
916	12617	1142
917	12631	1128
918	12645	1114
919	12659	1100
920	12673	1087
921	12687	1073
922	12700	1059
923	12714	1045
924	12729	1032
925	12742	1018
926	12756	1004
927	12770	990
928	12783	977
929	12797	963
930	12811	949
931	12825	935
932	12838	921
933	12853	908
934	12867	894
935	12880	880
936	12893	866
937	12907	853
938	12921	839
939	12935	825
940	12949	811
941	12964	798
942	12977	784
943	12991	770
944	13005	756
945	13019	743
946	13033	729
947	13047	715
948	13061	701
949	13074	688
950	13088	674
951	13102	660
952	13115	646
953	13129	633
954	13143	619
955	13157	605
956	13171	591
957	13185	578
958	13199	564
959	13213	550
960	13227	536
961	13240	523
962	13254	509
963	13268	495
964	13282	481
965	13296	467
966	13309	454
967	13323	440
968	13337	426
969	13351	412
970	13365	399
971	13378	385
972	13392	371
973	13406	357
974	13420	344
975	13433	330
976	13447	316
977	13461	302
978	13475	289
979	13488	275
980	13501	261
981	13515	247
982	13529	233
983	13543	220
984	13557	206
985	13570	192
986	13584	178
987	13598	165
988	13611	151
989	13625	137
990	13639	123
991	13653	110
992	13667	96
993	13681	82
994	13695	68
995	13709	55
996	13723	41
997	13737	27
998	13751	13
999	13765	0
